,year,raceId,driverId,constructorId,number,grid,position,positionText,points,laps,time,miliseconds,fastestLap,fastestLapSpeed,statusId,fastestLapTime
5006,2021,19,norris,norris,4,5,10,10,1,70,,,53,,+1 Lap,1:13.761
5007,2021,19,vettel,vettel,5,9,11,11,0,70,,,69,,+1 Lap,1:13.634
5008,2021,19,raikkonen,raikkonen,7,0,12,12,0,70,,,54,,+1 Lap,1:12.621
5009,2021,19,russell,russell,63,17,13,13,0,70,,,45,,+1 Lap,1:14.355
5010,2021,19,giovinazzi,giovinazzi,99,13,14,14,0,70,,,44,,+1 Lap,1:14.227
5011,2021,19,tsunoda,tsunoda,22,15,15,15,0,70,,,62,,+1 Lap,1:14.204
5012,2021,19,latifi,latifi,6,16,16,16,0,70,,,57,,+1 Lap,1:14.616
5013,2021,19,mazepin,mazepin,9,19,17,17,0,69,,,36,,+2 Laps,1:14.954
5014,2021,19,mick_schumacher,mick_schumacher,47,18,18,18,0,69,,,66,,+2 Laps,1:13.793
5015,2021,19,ricciardo,ricciardo,3,11,19,R,0,49,,,40,,Power loss,1:14.443
5016,2021,19,stroll,stroll,18,14,20,R,0,47,,,25,,Collision damage,1:15.344
5017,2021,20,hamilton,hamilton,44,1,1,1,25,57,1:24:28.471,5068471,50,,Finished,1:25.084
5018,2021,20,max_verstappen,max_verstappen,33,7,2,2,19,57,+25.743,5094214,57,,Finished,1:23.196
5019,2021,20,alonso,alonso,14,3,3,3,15,57,+59.457,5127928,48,,Finished,1:26.682
5020,2021,20,perez,perez,11,11,4,4,12,57,+1:02.306,5130777,49,,Finished,1:25.613
5021,2021,20,ocon,ocon,31,9,5,5,10,57,+1:20.570,5149041,46,,Finished,1:27.061
5022,2021,20,stroll,stroll,18,12,6,6,8,57,+1:21.274,5149745,44,,Finished,1:27.356
5023,2021,20,sainz,sainz,55,5,7,7,6,57,+1:21.911,5150382,46,,Finished,1:26.570
5024,2021,20,leclerc,leclerc,16,13,8,8,4,57,+1:23.126,5151597,46,,Finished,1:26.555
5025,2021,20,norris,norris,4,4,9,9,2,56,,,51,,+1 Lap,1:25.746
5026,2021,20,vettel,vettel,5,10,10,10,1,56,,,53,,+1 Lap,1:26.434
5027,2021,20,gasly,gasly,10,2,11,11,0,56,,,46,,+1 Lap,1:27.019
5028,2021,20,ricciardo,ricciardo,3,14,12,12,0,56,,,50,,+1 Lap,1:27.198
5029,2021,20,tsunoda,tsunoda,22,8,13,13,0,56,,,50,,+1 Lap,1:27.043
5030,2021,20,raikkonen,raikkonen,7,16,14,14,0,56,,,53,,+1 Lap,1:26.358
5031,2021,20,giovinazzi,giovinazzi,99,18,15,15,0,56,,,40,,+1 Lap,1:27.823
5032,2021,20,mick_schumacher,mick_schumacher,47,19,16,16,0,56,,,46,,+1 Lap,1:28.412
5033,2021,20,russell,russell,63,15,17,17,0,55,,,55,,+2 Laps,1:25.768
5034,2021,20,mazepin,mazepin,9,20,18,18,0,55,,,55,,+2 Laps,1:27.340
5035,2021,20,latifi,latifi,6,17,19,R,0,50,,,44,,Puncture,1:28.732
5036,2021,20,bottas,bottas,77,6,20,R,0,48,,,39,,Damage,1:27.246
5037,2021,21,hamilton,hamilton,44,1,1,1,26,50,2:06:15.118,7575118,47,,Finished,1:30.734
5038,2021,21,max_verstappen,max_verstappen,33,3,2,2,18,50,+11.825,7586943,35,,Finished,1:31.488
5039,2021,21,bottas,bottas,77,2,3,3,15,50,+27.531,7602649,47,,Finished,1:31.408
5040,2021,21,ocon,ocon,31,9,4,4,12,50,+27.633,7602751,47,,Finished,1:31.797
5041,2021,21,ricciardo,ricciardo,3,11,5,5,10,50,+40.121,7615239,43,,Finished,1:32.716
5042,2021,21,gasly,gasly,10,6,6,6,8,50,+41.613,7616731,46,,Finished,1:32.297
5043,2021,21,leclerc,leclerc,16,4,7,7,6,50,+44.475,7619593,46,,Finished,1:31.601
5044,2021,21,sainz,sainz,55,15,8,8,4,50,+46.606,7621724,37,,Finished,1:31.851
5045,2021,21,giovinazzi,giovinazzi,99,10,9,9,2,50,+58.505,7633623,37,,Finished,1:32.865
5046,2021,21,norris,norris,4,7,10,10,1,50,+1:01.358,7636476,49,,Finished,1:31.914
5047,2021,21,stroll,stroll,18,18,11,11,0,50,+1:17.212,7652330,45,,Finished,1:32.804
5048,2021,21,latifi,latifi,6,16,12,12,0,50,+1:23.249,7658367,49,,Finished,1:32.751
5049,2021,21,alonso,alonso,14,13,13,13,0,49,,,46,,+1 Lap,1:31.633
5050,2021,21,tsunoda,tsunoda,22,8,14,14,0,49,,,44,,+1 Lap,1:32.506
5051,2021,21,raikkonen,raikkonen,7,12,15,15,0,49,,,45,,+1 Lap,1:32.778
