year,circuitId,name,location,country,lat,lng,alt,url
1957,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,Monte-Carlo,http://en.wikipedia.org/wiki/Circuit_de_Monaco
1957,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,Monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
1957,nurburgring,Nürburgring,Nürburg,Germany,50.3356,6.9475,Nürburg,http://en.wikipedia.org/wiki/N%C3%BCrburgring
1957,pescara,Pescara Circuit,Pescara,Italy,42.475,14.1508,Pescara,http://en.wikipedia.org/wiki/Pescara_Circuit
1958,ain-diab,Ain Diab,Casablanca,Morocco,33.5786,-7.6875,Casablanca,http://en.wikipedia.org/wiki/Ain-Diab_Circuit
1958,boavista,Circuito da Boavista,Oporto,Portugal,41.1705,-8.67325,Oporto,http://en.wikipedia.org/wiki/Circuito_da_Boavista
1958,galvez,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,-34.6943,-58.4593,Buenos Aires,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Oscar_Alfredo_G%C3%A1lvez
1958,indianapolis,Indianapolis Motor Speedway,Indianapolis,USA,39.795,-86.2347,Indianapolis,http://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway
1958,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,Monte-Carlo,http://en.wikipedia.org/wiki/Circuit_de_Monaco
1958,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,Monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
1958,nurburgring,Nürburgring,Nürburg,Germany,50.3356,6.9475,Nürburg,http://en.wikipedia.org/wiki/N%C3%BCrburgring
1958,reims,Reims-Gueux,Reims,France,49.2542,3.93083,Reims,http://en.wikipedia.org/wiki/Reims-Gueux
1958,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,Silverstone,http://en.wikipedia.org/wiki/Silverstone_Circuit
1958,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,Spa,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
1958,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,Zandvoort,http://en.wikipedia.org/wiki/Circuit_Zandvoort
1959,aintree,Aintree,Liverpool,UK,53.4769,-2.94056,Liverpool,http://en.wikipedia.org/wiki/Aintree_Motor_Racing_Circuit
1959,avus,AVUS,Berlin,Germany,52.4806,13.2514,Berlin,http://en.wikipedia.org/wiki/AVUS
1959,indianapolis,Indianapolis Motor Speedway,Indianapolis,USA,39.795,-86.2347,Indianapolis,http://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway
1959,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,Monte-Carlo,http://en.wikipedia.org/wiki/Circuit_de_Monaco
1959,monsanto,Monsanto Park Circuit,Lisbon,Portugal,38.7197,-9.20306,Lisbon,http://en.wikipedia.org/wiki/Monsanto_Park_Circuit
1959,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,Monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
1959,reims,Reims-Gueux,Reims,France,49.2542,3.93083,Reims,http://en.wikipedia.org/wiki/Reims-Gueux
1959,sebring,Sebring International Raceway,Florida,USA,27.4547,-81.3483,Florida,http://en.wikipedia.org/wiki/Sebring_Raceway
1959,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,Zandvoort,http://en.wikipedia.org/wiki/Circuit_Zandvoort
1960,boavista,Circuito da Boavista,Oporto,Portugal,41.1705,-8.67325,Oporto,http://en.wikipedia.org/wiki/Circuito_da_Boavista
1960,galvez,Autódromo Juan y Oscar Gálvez,Buenos Aires,Argentina,-34.6943,-58.4593,Buenos Aires,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Oscar_Alfredo_G%C3%A1lvez
1960,indianapolis,Indianapolis Motor Speedway,Indianapolis,USA,39.795,-86.2347,Indianapolis,http://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway
1960,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,Monte-Carlo,http://en.wikipedia.org/wiki/Circuit_de_Monaco
1960,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,Monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
1960,reims,Reims-Gueux,Reims,France,49.2542,3.93083,Reims,http://en.wikipedia.org/wiki/Reims-Gueux
1960,riverside,Riverside International Raceway,California,USA,33.937,-117.273,California,http://en.wikipedia.org/wiki/Riverside_International_Raceway
1960,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,Silverstone,http://en.wikipedia.org/wiki/Silverstone_Circuit
1960,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,Spa,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
1960,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,Zandvoort,http://en.wikipedia.org/wiki/Circuit_Zandvoort
1961,aintree,Aintree,Liverpool,UK,53.4769,-2.94056,Liverpool,http://en.wikipedia.org/wiki/Aintree_Motor_Racing_Circuit
1961,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,Monte-Carlo,http://en.wikipedia.org/wiki/Circuit_de_Monaco
1961,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,Monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
1961,nurburgring,Nürburgring,Nürburg,Germany,50.3356,6.9475,Nürburg,http://en.wikipedia.org/wiki/N%C3%BCrburgring
1961,reims,Reims-Gueux,Reims,France,49.2542,3.93083,Reims,http://en.wikipedia.org/wiki/Reims-Gueux
1961,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,Spa,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
1961,watkins_glen,Watkins Glen,New York State,USA,42.3369,-76.9272,New York State,http://en.wikipedia.org/wiki/Watkins_Glen_International
1961,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,Zandvoort,http://en.wikipedia.org/wiki/Circuit_Zandvoort
1962,aintree,Aintree,Liverpool,UK,53.4769,-2.94056,Liverpool,http://en.wikipedia.org/wiki/Aintree_Motor_Racing_Circuit
1962,essarts,Rouen-Les-Essarts,Rouen,France,49.3306,1.00458,Rouen,http://en.wikipedia.org/wiki/Rouen-Les-Essarts
1962,george,Prince George Circuit,Eastern Cape Province,South Africa,-33.0486,27.8736,Eastern Cape Province,http://en.wikipedia.org/wiki/Prince_George_Circuit
1962,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,Monte-Carlo,http://en.wikipedia.org/wiki/Circuit_de_Monaco
1962,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,Monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
1962,nurburgring,Nürburgring,Nürburg,Germany,50.3356,6.9475,Nürburg,http://en.wikipedia.org/wiki/N%C3%BCrburgring
1962,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,Spa,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
1962,watkins_glen,Watkins Glen,New York State,USA,42.3369,-76.9272,New York State,http://en.wikipedia.org/wiki/Watkins_Glen_International
1962,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,Zandvoort,http://en.wikipedia.org/wiki/Circuit_Zandvoort
1963,george,Prince George Circuit,Eastern Cape Province,South Africa,-33.0486,27.8736,Eastern Cape Province,http://en.wikipedia.org/wiki/Prince_George_Circuit
1963,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,Monte-Carlo,http://en.wikipedia.org/wiki/Circuit_de_Monaco
1963,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,Monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
1963,nurburgring,Nürburgring,Nürburg,Germany,50.3356,6.9475,Nürburg,http://en.wikipedia.org/wiki/N%C3%BCrburgring
1963,reims,Reims-Gueux,Reims,France,49.2542,3.93083,Reims,http://en.wikipedia.org/wiki/Reims-Gueux
1963,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907,Mexico City,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez
1963,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,Silverstone,http://en.wikipedia.org/wiki/Silverstone_Circuit
1963,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,Spa,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
1963,watkins_glen,Watkins Glen,New York State,USA,42.3369,-76.9272,New York State,http://en.wikipedia.org/wiki/Watkins_Glen_International
1963,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,Zandvoort,http://en.wikipedia.org/wiki/Circuit_Zandvoort
1964,brands_hatch,Brands Hatch,Kent,UK,51.3569,0.263056,Kent,http://en.wikipedia.org/wiki/Brands_Hatch
1964,essarts,Rouen-Les-Essarts,Rouen,France,49.3306,1.00458,Rouen,http://en.wikipedia.org/wiki/Rouen-Les-Essarts
1964,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,Monte-Carlo,http://en.wikipedia.org/wiki/Circuit_de_Monaco
1964,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,Monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
1964,nurburgring,Nürburgring,Nürburg,Germany,50.3356,6.9475,Nürburg,http://en.wikipedia.org/wiki/N%C3%BCrburgring
1964,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907,Mexico City,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez
1964,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,Spa,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
1964,watkins_glen,Watkins Glen,New York State,USA,42.3369,-76.9272,New York State,http://en.wikipedia.org/wiki/Watkins_Glen_International
1964,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,Zandvoort,http://en.wikipedia.org/wiki/Circuit_Zandvoort
1964,zeltweg,Zeltweg,Styria,Austria,47.2039,14.7478,Styria,http://en.wikipedia.org/wiki/Zeltweg_Airfield
1965,charade,Charade Circuit,Clermont-Ferrand,France,45.7472,3.03889,Clermont-Ferrand,http://en.wikipedia.org/wiki/Charade_Circuit
1965,george,Prince George Circuit,Eastern Cape Province,South Africa,-33.0486,27.8736,Eastern Cape Province,http://en.wikipedia.org/wiki/Prince_George_Circuit
1965,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,Monte-Carlo,http://en.wikipedia.org/wiki/Circuit_de_Monaco
1965,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,Monza,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
1965,nurburgring,Nürburgring,Nürburg,Germany,50.3356,6.9475,Nürburg,http://en.wikipedia.org/wiki/N%C3%BCrburgring
1965,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907,Mexico City,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez
1965,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,Silverstone,http://en.wikipedia.org/wiki/Silverstone_Circuit
1965,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,Spa,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
1965,watkins_glen,Watkins Glen,New York State,USA,42.3369,-76.9272,New York State,http://en.wikipedia.org/wiki/Watkins_Glen_International
1965,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,Zandvoort,http://en.wikipedia.org/wiki/Circuit_Zandvoort
